Date,PRECTOTCORR (mm),LTP
2025-01-01,13.65,201.63
2025-01-02,1.19,201.08
2025-01-03,0.08,201.77
2025-01-04,7.92,202.16
2025-01-05,11.34,203.18
2025-01-06,2.54,199.75
2025-01-07,0.44,198.02
2025-01-08,2.1,199.59
2025-01-09,0.61,199.9
2025-01-10,0.22,201.03
2025-01-11,0.15,204.09
2025-01-12,0.19,210.66
2025-01-13,0.05,212.5
2025-01-14,0.16,198.68
2025-01-15,0.4,197.67
2025-01-16,0.16,199.95
2025-01-17,0.11,198.88
2025-01-18,0.28,198.51
2025-01-19,0.13,200.71
2025-01-20,0.14,199.53
2025-01-21,0.19,197.18
2025-01-22,0.7,197.51
2025-01-23,3.83,199.73
2025-01-24,4.61,200.75
2025-01-25,0.75,200.58
2025-01-26,7.28,204.31
2025-01-27,6.34,201.22
2025-01-28,3.92,200.13
2025-01-29,1.87,197.11
2025-01-30,0.12,198.78
2025-01-31,6.28,199.1
2025-02-01,0.72,198.63
2025-02-02,0.05,198.74
2025-02-03,0.36,200.77
2025-02-04,0.43,200.13
2025-02-05,0.11,200.76
2025-02-06,0.23,202.52
2025-02-07,2.96,200.8
2025-02-08,1.52,200.15
2025-02-09,3.76,198.17
2025-02-10,3.06,201.84
2025-02-11,0.7,198.6
2025-02-12,0.33,201.46
2025-02-13,0.09,202.7
2025-02-14,0.02,204.0
2025-02-15,3.56,203.8
2025-02-16,0.15,204.0
2025-02-17,0.0,206.7
2025-02-18,0.0,204.0
2025-02-19,0.23,206.0
2025-02-20,3.92,207.8
2025-02-21,3.99,213.0
2025-02-22,4.13,215.0
2025-02-23,4.42,216.8
2025-02-24,8.56,217.3
2025-02-25,1.17,221.5
2025-02-26,7.86,209.7
2025-02-27,2.14,201.0
2025-02-28,0.05,202.0
2025-03-01,0.1,201.4
2025-03-02,0.08,201.2
2025-03-03,0.04,202.7
2025-03-04,0.02,204.0
2025-03-05,0.06,202.9
2025-03-06,0.01,201.5
2025-03-07,0.05,202.9
2025-03-08,0.01,202.6
2025-03-09,0.0,203.0
2025-03-10,0.44,203.2
2025-03-11,0.15,204.0
2025-03-12,0.49,206.0
2025-03-13,1.11,206.1
2025-03-14,0.57,209.5
2025-03-15,0.1,210.5
2025-03-16,0.14,201.7
2025-03-17,0.23,201.5
2025-03-18,0.0,203.1
2025-03-19,0.0,201.7
2025-03-20,0.01,204.9
2025-03-21,1.39,200.4
2025-03-22,1.55,200.6
2025-03-23,1.23,200.1
2025-03-24,0.31,199.1
2025-03-25,0.73,200.0
2025-03-26,0.14,200.0
2025-03-27,0.12,201.5
2025-03-28,1.3,204.2
2025-03-29,0.02,205.9
2025-03-30,0.05,206.9
2025-03-31,0.0,206.9
2025-04-01,0.02,202.3
2025-04-02,0.0,202.6
2025-04-03,0.01,202.5
